text,label
Breaking news: AI surpasses human intelligence!,1
Government announces new policies for economic growth.,0
Scientists discover a new planet similar to Earth.,0
"Celebrity caught in another controversy, details inside!",1
Fake company promises to double your money in a week.,1
"Elections are rigged, claims an anonymous source.",1
New medical breakthrough cures common cold permanently.,0
Man travels to Mars and returns in one day.,1
Stock market crashes due to alien invasion rumors.,1
World leaders meet to discuss climate change solutions.,0
